Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,120,236,208,289,353,602,162,901,0.000%,1.00658,18.34,0.37
TOTAL,120,236,208,289,353,602,162,901,0.000%,1.00658,18.34,0.37
