Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,41266,2884,2931,3613,3856,5032,222,6540,0.000%,336.20662,6125.34,124.45
TOTAL,41266,2884,2931,3613,3856,5032,222,6540,0.000%,336.20662,6125.34,124.45
