Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,120,33,35,39,40,51,8,101,0.000%,1.00814,18.37,0.37
TOTAL,120,33,35,39,40,51,8,101,0.000%,1.00814,18.37,0.37
