Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,120,36,38,47,49,50,12,51,0.000%,1.00811,18.37,0.37
TOTAL,120,36,38,47,49,50,12,51,0.000%,1.00811,18.37,0.37
