Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1130,10871,7563,16995,18627,25327,6842,31739,0.000%,8.70966,158.65,3.22
TOTAL,1130,10871,7563,16995,18627,25327,6842,31739,0.000%,8.70966,158.65,3.22
