Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,23529,5161,296,18050,24709,31084,2,50815,0.000%,180.87961,613.85,65.27
TOTAL,23529,5161,296,18050,24709,31084,2,50815,0.000%,180.87961,613.85,65.27
