Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,38953,3010,3097,3878,4155,4803,67,10623,0.000%,317.52229,5784.92,117.54
TOTAL,38953,3010,3097,3878,4155,4803,67,10623,0.000%,317.52229,5784.92,117.54
