Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2037,87999,102400,128014,132986,143545,6727,162479,9.917%,9.26874,154.41,3.09
TOTAL,2037,87999,102400,128014,132986,143545,6727,162479,9.917%,9.26874,154.41,3.09
