Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1535,134432,148540,205979,212939,220745,5822,225030,22.541%,6.05630,19.46,1.69
TOTAL,1535,134432,148540,205979,212939,220745,5822,225030,22.541%,6.05630,19.46,1.69
