Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,11999,10,10,12,14,22,4,97,0.000%,99.99500,1821.81,37.02
TOTAL,11999,10,10,12,14,22,4,97,0.000%,99.99500,1821.81,37.02
