Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,12000,9,10,11,12,17,4,46,0.000%,100.00250,1821.94,37.02
TOTAL,12000,9,10,11,12,17,4,46,0.000%,100.00250,1821.94,37.02
